date,title,content,label,article_id,text
2022-01-23,"polemik arteria dahlan jadi pembelajaran kader, hasto dalam politik hati-hati berbicara"," sekretaris jenderal pdi-p hasto kristiyanto meminta seluruh pengurus dan kader partai tidak sembarangan dalam berkomunikasi di ruang publik. hal ini ia sampaikan terkait ucapan anggota dpr sekaligus kaderpdi-parteria dahlan yang menjadi polemik. arteria mempersoalkan adanya kepala kejaksaan tinggi kajati yang berbahasa sunda dalam rapat. bagi pdi perjuangan, ini juga menjadi pembelajaran bagi seluruh anggota dan kader partai untuk dalam politik itu hati-hati berbicara, kata hasto, di sela-sela rangkaian acara hut ke-49 pdi-p dan ketua umum megawati soekarnoputri di bali, sabtu 22 1 2022 .",0,KOMPAS_9963,"polemik arteria dahlan jadi pembelajaran kader, hasto dalam politik hati-hati berbicara. sekretaris jenderal pdi-p hasto kristiyanto meminta seluruh pengurus dan kader partai tidak sembarangan dalam berkomunikasi di ruang publik. hal ini ia sampaikan terkait ucapan anggota dpr sekaligus kaderpdi-parteria dahlan yang menjadi polemik. arteria mempersoalkan adanya kepala kejaksaan tinggi kajati yang berbahasa sunda dalam rapat. bagi pdi perjuangan, ini juga menjadi pembelajaran bagi seluruh anggota dan kader partai untuk dalam politik itu hati-hati berbicara, kata hasto, di sela-sela rangkaian acara hut ke-49 pdi-p dan ketua umum megawati soekarnoputri di bali, sabtu 22 1 2022 ."
2022-01-23,"hut ke-75 megawati, pramono anung politik ibu ketum jangka panjang, tidak grasa-grusu"," mantan sekretaris jenderal pdi perjuangan pramono anung mengungkapkan bahwa ketua umum megawati soekarnoputri memiliki ciri khas dalam berpolitik. adapunpolitikyang menjadi ciri khas megawati adalah politik jangka panjang. politik ibu ketum itu kan politik yang jangka panjang dan selalu tenang. tidak grasa-grusu, tidak gopoh-gopoh, tidak berubah, kata pramono dalam acara sikap hidup merawat pertiwi di akun youtubepdi perjuangan, minggu 23 1 2022 . adapun hal tersebut disampaikan pramono saat menjadi narasumber dalam acara peringatan hari ulang tahun hut ke-75 megawati pada hari ini.",0,KOMPAS_9962,"hut ke-75 megawati, pramono anung politik ibu ketum jangka panjang, tidak grasa-grusu. mantan sekretaris jenderal pdi perjuangan pramono anung mengungkapkan bahwa ketua umum megawati soekarnoputri memiliki ciri khas dalam berpolitik. adapunpolitikyang menjadi ciri khas megawati adalah politik jangka panjang. politik ibu ketum itu kan politik yang jangka panjang dan selalu tenang. tidak grasa-grusu, tidak gopoh-gopoh, tidak berubah, kata pramono dalam acara sikap hidup merawat pertiwi di akun youtubepdi perjuangan, minggu 23 1 2022 . adapun hal tersebut disampaikan pramono saat menjadi narasumber dalam acara peringatan hari ulang tahun hut ke-75 megawati pada hari ini."
2022-01-24,"pengamat tebak pesan anies ke giring kalau sumbang suaranya, jangan ngomong politik dulu deh..."," direktur eksekutif parameter politik indonesia, adi prayitno menebak pesan terselubung gubernur dki anies baswedan kepada ketua umum partai solidaritas indonesia psi giring ganesha. pesan yang dimaksud ketika anies menyindir giring lewat unggahan foto grup band nidji tampil di jakarta international stadium jis . dalam unggahan itu, menurut pengamatan adi, anies ingin bilang kepada giring agar jangan berbicara politik dulu.",0,KOMPAS_9956,"pengamat tebak pesan anies ke giring kalau sumbang suaranya, jangan ngomong politik dulu deh.... direktur eksekutif parameter politik indonesia, adi prayitno menebak pesan terselubung gubernur dki anies baswedan kepada ketua umum partai solidaritas indonesia psi giring ganesha. pesan yang dimaksud ketika anies menyindir giring lewat unggahan foto grup band nidji tampil di jakarta international stadium jis . dalam unggahan itu, menurut pengamatan adi, anies ingin bilang kepada giring agar jangan berbicara politik dulu."
2022-01-24,update 20.867 kasus aktif covid-19 di indonesia," pemerintah menyampaikan terdapat 20.867 kasus aktif covid-19 pada senin 24 1 2022 . jumlah tersebut menyusul adanya penambahan sebanyak 1.976 kasus. kasus aktif adalah pasien yang dinyatakan positif covid-19 dan sedang menjalani perawatan. angka itu didapatkan dengan mengurangi total kasus positif covid-19 dengan angka kesembuhan dan kematian. informasi itu disampaikan satuan tugas penanganan covid-19 melalui dokumen yang disiarkan kepada wartawan, senin sore. data juga bisa diakses melalui situs covid19.go.id. di sisi lain secara kumulatif kasus positif covid-19 di indonesia telah mencapai 4.289.305 kasus hingga hari ini.",-1,KOMPAS_9945,"update 20.867 kasus aktif covid-19 di indonesia. pemerintah menyampaikan terdapat 20.867 kasus aktif covid-19 pada senin 24 1 2022 . jumlah tersebut menyusul adanya penambahan sebanyak 1.976 kasus. kasus aktif adalah pasien yang dinyatakan positif covid-19 dan sedang menjalani perawatan. angka itu didapatkan dengan mengurangi total kasus positif covid-19 dengan angka kesembuhan dan kematian. informasi itu disampaikan satuan tugas penanganan covid-19 melalui dokumen yang disiarkan kepada wartawan, senin sore. data juga bisa diakses melalui situs covid19.go.id. di sisi lain secara kumulatif kasus positif covid-19 di indonesia telah mencapai 4.289.305 kasus hingga hari ini."
2022-01-25,update 25 januari 7.483 kasus suspek covid-19 di indonesia," pemerintah mencatat, hingga selasa 25 1 2022 ada 7.483 suspek covid-19 di indonesia. data tersebut disampaikan satuan tugas penanganan covid-19 melalui dokumen yang diberikan pada wartawan. kategori suspek covid-19 diberikan pada orang yang mengalami infeksi saluran pernapasan akut ispa dan pada 14 hari terakhir sebelum timbul gejala memiliki riwayat perjalanan atau tinggal di negara wilayah indonesia yang melaporkan transmisi lokal.",-1,KOMPAS_9936,"update 25 januari 7.483 kasus suspek covid-19 di indonesia. pemerintah mencatat, hingga selasa 25 1 2022 ada 7.483 suspek covid-19 di indonesia. data tersebut disampaikan satuan tugas penanganan covid-19 melalui dokumen yang diberikan pada wartawan. kategori suspek covid-19 diberikan pada orang yang mengalami infeksi saluran pernapasan akut ispa dan pada 14 hari terakhir sebelum timbul gejala memiliki riwayat perjalanan atau tinggal di negara wilayah indonesia yang melaporkan transmisi lokal."
2022-01-25,masuk indonesia via bali atau kepri boleh gunakan kapal pesiar dan yacht," pemerintah melalui kementerian dalam negeri telah menetapkan perpanjangan pemberlakuan pembatasan kegiatan masyarakat ppkm di jawa-bali untuk periode 25-31 januari 2022 atau selama sepekan mendatang. perpanjangan itu dinyatakan dalam instruksimendagri inmendagri nomor 05 tahun 2022 tentang pemberlakuan pembatasan kegiatan masyarakat level 3, level 2 dan level 1 corona virus disease 2019 di wilayah jawa danbali. dalam perpanjangan ini, pemerintah juga mengatur pembatasan pintu masuk perjalanan penumpang internasional. mendagri tito karnavian menjelaskan, hanya ada enam pintu masuk perjalanan udara ke indonesia. dua di antaranya berlokasi di kepulauan riau.",-1,KOMPAS_9942,"masuk indonesia via bali atau kepri boleh gunakan kapal pesiar dan yacht. pemerintah melalui kementerian dalam negeri telah menetapkan perpanjangan pemberlakuan pembatasan kegiatan masyarakat ppkm di jawa-bali untuk periode 25-31 januari 2022 atau selama sepekan mendatang. perpanjangan itu dinyatakan dalam instruksimendagri inmendagri nomor 05 tahun 2022 tentang pemberlakuan pembatasan kegiatan masyarakat level 3, level 2 dan level 1 corona virus disease 2019 di wilayah jawa danbali. dalam perpanjangan ini, pemerintah juga mengatur pembatasan pintu masuk perjalanan penumpang internasional. mendagri tito karnavian menjelaskan, hanya ada enam pintu masuk perjalanan udara ke indonesia. dua di antaranya berlokasi di kepulauan riau."
2022-01-26,sejarah fir indonesia dikuasai singapura sejak era kemerdekaan dan kini diambil alih," indonesia mencapai kesepakatan dengan singapura terkait pengambilalihan pelayanan ruang udara atauflight information region fir di atas wilayah kepulauan riau dan natuna. hal itu dikukuhkan melalui penandatanganan kesepakatan penyesuaian fir oleh menteri perhubungan menhub budi karya sumadi dengan menteri transportasi singapura s. iswaran, yang disaksikan langsung oleh presiden joko widodo dan perdana menteri singapura lee hsien loong di pulau bintan, kepulauan riau, selasa 25 1 2022 .",1,KOMPAS_9931,"sejarah fir indonesia dikuasai singapura sejak era kemerdekaan dan kini diambil alih. indonesia mencapai kesepakatan dengan singapura terkait pengambilalihan pelayanan ruang udara atauflight information region fir di atas wilayah kepulauan riau dan natuna. hal itu dikukuhkan melalui penandatanganan kesepakatan penyesuaian fir oleh menteri perhubungan menhub budi karya sumadi dengan menteri transportasi singapura s. iswaran, yang disaksikan langsung oleh presiden joko widodo dan perdana menteri singapura lee hsien loong di pulau bintan, kepulauan riau, selasa 25 1 2022 ."
2022-01-26,kpk sambut gembira perjanjian ekstradisi indonesia-singapura,"jakarta, kompas.com -ketua komisi pemberantasan korupsi kpk firli bahuri menyatakan, kpk menyambut gembira adanya perjanjian ekstradisi indonesia dan singapura yang ditandatangi pada selasa 25 1 2022 . menurut firli, perjanjian tersebut membuka kesempatan yang lebih kuat bagi kpk untuk bekerja sama dengan pihak singapura dalam menyelesaikan berbagai perkara yang ditangani kpk. perjanjian esktradisi bagi kpk, kami menyambut gembira, dan saya kira ini adalah kegembiraan untuk seluruh rakyat bangsa indonesia, kata firli di kompleks parlemen, jakarta, rabu 26 1 2022 . karena akan membuka kesempatan yang lebih erat, lebih kuat, dengan kerja sama dengan singapura, terkait dengan penyelesaian-penyelesaian perkara-perkara yang memang menjadi perhatian kita, ujar firli melanjutkan.",1,KOMPAS_9916,"kpk sambut gembira perjanjian ekstradisi indonesia-singapura. jakarta, kompas.com -ketua komisi pemberantasan korupsi kpk firli bahuri menyatakan, kpk menyambut gembira adanya perjanjian ekstradisi indonesia dan singapura yang ditandatangi pada selasa 25 1 2022 . menurut firli, perjanjian tersebut membuka kesempatan yang lebih kuat bagi kpk untuk bekerja sama dengan pihak singapura dalam menyelesaikan berbagai perkara yang ditangani kpk. perjanjian esktradisi bagi kpk, kami menyambut gembira, dan saya kira ini adalah kegembiraan untuk seluruh rakyat bangsa indonesia, kata firli di kompleks parlemen, jakarta, rabu 26 1 2022 . karena akan membuka kesempatan yang lebih erat, lebih kuat, dengan kerja sama dengan singapura, terkait dengan penyelesaian-penyelesaian perkara-perkara yang memang menjadi perhatian kita, ujar firli melanjutkan."
2022-01-28,"singapura bisa latihan militer di langit indonesia, effendi simbolon kenapa dikasih?"," anggota komisi i dpr dari fraksi pdi-p effendi simbolon mempertanyakan soal perjanjian kerjasama pertahanan ataudefence cooperation agreement dca antara indonesia dan singapura. sebab, ia mengaku terkejut dengan salah satu kesepakatan di manasingapuradiiizinkan untuk menggelarlatihan militerdi atas langit indonesia. pihak singapura minta menggunakanmilitary training area-nya bukan hanya dia sendiri lho, dia bisa menggunakan untuk latihan bersama lho. masya allah gua bilang, kata effendi di kompleks parlemen senayan, jakarta, kamis 27 1 2022 .",1,KOMPAS_9900,"singapura bisa latihan militer di langit indonesia, effendi simbolon kenapa dikasih?. anggota komisi i dpr dari fraksi pdi-p effendi simbolon mempertanyakan soal perjanjian kerjasama pertahanan ataudefence cooperation agreement dca antara indonesia dan singapura. sebab, ia mengaku terkejut dengan salah satu kesepakatan di manasingapuradiiizinkan untuk menggelarlatihan militerdi atas langit indonesia. pihak singapura minta menggunakanmilitary training area-nya bukan hanya dia sendiri lho, dia bisa menggunakan untuk latihan bersama lho. masya allah gua bilang, kata effendi di kompleks parlemen senayan, jakarta, kamis 27 1 2022 ."
2022-01-29,perjanjian indonesia-singapura soal fir dan dca yang menuai kritik,"jakarta, kompas.com -perjanjian yang diteken oleh pemerintah indonesia dan singapura mengenai penataan flight information region fir dan kerja sama pertahanan atau defence cooperation agreement dca menuai kritik dari sejumlah pihak. dua perjanjian tersebut diteken pada selasa 25 1 2022 dalam satu paket perjanjian dengan satu perjanjian lainnya, yakni mengenai ekstradisi buronan. perjanjian soal fir dikritik lantaran hal tersebut tidak serta merta membuat indonesia menguasai ruang udara di wilayah kepulauan riau dan natuna yang disebut telah diambil alih lewat perjanjian itu. menteri perhubungan budi karya sumadi menyebutkan, indonesia akan bekerja sama dengan singapura memberikan penyediaan jasa penerbangan pjp di sebagian area fir indonesia yang berbatasan dengan fir singapura.",0,KOMPAS_9895,"perjanjian indonesia-singapura soal fir dan dca yang menuai kritik. jakarta, kompas.com -perjanjian yang diteken oleh pemerintah indonesia dan singapura mengenai penataan flight information region fir dan kerja sama pertahanan atau defence cooperation agreement dca menuai kritik dari sejumlah pihak. dua perjanjian tersebut diteken pada selasa 25 1 2022 dalam satu paket perjanjian dengan satu perjanjian lainnya, yakni mengenai ekstradisi buronan. perjanjian soal fir dikritik lantaran hal tersebut tidak serta merta membuat indonesia menguasai ruang udara di wilayah kepulauan riau dan natuna yang disebut telah diambil alih lewat perjanjian itu. menteri perhubungan budi karya sumadi menyebutkan, indonesia akan bekerja sama dengan singapura memberikan penyediaan jasa penerbangan pjp di sebagian area fir indonesia yang berbatasan dengan fir singapura."
