title,tanggal,waktu,content
"Pak Bas Lapor Progres IKN ke Istana, Persiapan Ibu Kota Politik 2028",03 Oktober 2025,16:52 WIB,"JAKARTA- Kepala Otorita Ibu Kota Nusantara (OIKN) Basuki Hadimuljono merapat ke Kementerian Sekretariat Negara (Kemensetneg), Kompleks Istana Kepresidenan, Jakarta, Jumat (3/10/2025). Basuki bertemu Wakil Menteri Sekretariat Negara (Wamensesneg) Juri Ardiantoro dan Bambang Eko Suharyanto untuk melaporkan perkembangan pembangunan Ibu Kota Nusantara (IKN). ""Hari ini saya berkunjung ke @kemensetneg.ri dan bertemu dengan dua Wakil Menteri Sekretaris Negara, Bapak Juri Ardiantoro dan Bapak Bambang Eko Suharyanto,"" tulis Basuki lewat akun media sosial Instagram miliknya @basukihadimuljono. Basuki mengungkapkan laporan ini khusus pasca diterbitkannya Peraturan Presiden (Perpres) Nomor 79 Tahun 2025. Dia memaparkan status terkini pembangunan serta rencana program periode 2026–2028 yang difokuskan pada penyelesaian kawasan legislatif dan yudikatif sesuai arahan Presiden Prabowo Subianto. ""Pada kesempatan ini saya melaporkan status dan progres pembangunan Ibu Kota Nusantara pasca terbitnya Perpres 79/2025, sekaligus menyampaikan rencana program 2026–2028 yang difokuskan pada penyelesaian kawasan legislatif dan yudikatif sesuai arahan Bapak Presiden Prabowo,"" jelasnya. Lebih lanjut, Basuki mengatakan pentingnya koordinasi erat ini untuk memastikan seluruh tahapan pembangunan berjalan sesuai target. "
"Fenomena Selebriti di Politik, Begini Pandangan Supranatural Ki Atmo",01 Oktober 2025,20:55 WIB,"JAKARTA- Dalam episode terbaru Bisikan Gaib, Robby Purba menghadirkan tamu spesial, Ki Atmo, yang dikenal dengan kemampuannya membaca fenomena supranatural dan memberi ramalan terkait selebriti tanah air. Sejak awal, obrolan mereka langsung menghangat dengan pembahasan mengenai seorang selebriti pria berinisial R, yang meski dikenal sosial dan baik, ternyata menyimpan sesuatu di balik citra publiknya. Ki Atmo menyebut bahwa sosok ini bisa saja terafiliasi dengan penguasa, sehingga keberadaannya tak sekadar hiburan di layar kaca. Robby pun menanggapi dengan membahas obrolan publik soal artis yang masuk ke politik, hanya sekadar jadi “tameng” atau “bahan tukar kepala.” Ki Atmo mengiyakan, bahkan menegaskan hal itu sudah terjadi. Topik semakin menarik saat Robby menanyakan fenomena artis yang duduk di parlemen. Ki Atmo menilai, pada akhirnya masyarakat akan semakin tidak peduli pada kedudukan selebriti di politik. Namun, di sisi lain, masyarakat awam tetap sering mengidolakan artis, bahkan sekadar untuk foto bersama ketika mereka turun ke lapangan. Robby juga menyinggung isu menarik tentang artis yang diduga menggunakan jasa dukun. Dengan santai, Ki Atmo mengaku tahu ada beberapa selebriti yang melakukannya, bahkan menyebut inisial B sebagai salah satunya. Percakapan pun disambut tawa keduanya, namun tetap meninggalkan rasa penasaran bagi penonton. Semua ramalan dan pandangan mengejutkan ini bisa kamu saksikan secara lengkap hanya di konten Bisikan Gaib di channel YouTube @robbypurbaofficial. (kha)"
"SAS Institute: Program MBG Bukan Janji Politik, Tapi Misi Peradaban",01 Oktober 2025,20:20 WIB," JAKARTA– Badan Gizi Nasional (BGN) mencatat hingga 22 September 2025, terdapat 4.711 kasus bakteri dalam makanan yang didistribusikan melalui program Makan Bergizi Gratis (MBG). Kasus ini tersebar di sekitar 45 lokasi di tiga wilayah sejak program dimulai. Meski begitu, Presiden Prabowo Subianto menegaskan optimisme terhadap kelanjutan program MBG. ""Ini masalah besar, jadi pasti ada kekurangan di awal. Tapi saya yakin kita akan selesaikan dengan baik,"" ujar Prabowo di Lanud Halim Perdanakusuma. Menanggapi hal tersebut, Sekretaris Eksekutif Said Aqil Sirodj Institute, Abi Rekso menilai bahwa program MBG harus terus dijalankan. “Bagi saya, MBG ini bukan janji politik, ini misi peradaban masa depan Indonesia. Masyarakat sipil perlu berperan aktif untuk menyukseskan MBG dan melihat dampak positifnya secara bijak,” terang Abi Rekso, Rabu (1/10/2025). Abi Rekso juga menekankan, bahwa MBG merupakan komitmen pemerintah untuk pemenuhan hak atas pangan (right to food). Meskipun ada sekitar 5.000 kasus terpapar bakteri, jumlah ini hanya sekitar 0,0001% dari 9.615 SPPG yang beroperasi dan 31 juta penerima manfaat program MBG. “Kesuksesan MBG tidak hanya soal pemenuhan gizi anak-anak Indonesia, tetapi juga membentuk rantai pasok pangan berbasis ketahanan, dengan kualitas tinggi dan harga terjangkau. Ini benar-benar mulia, sebagai misi peradaban Indonesia,” pungkasnya. "
"Husnan Bey: PPP Harus Kembali ke Khitah, Jangan Jadi Dagangan Politik",30 September 2025,18:38 WIB,"JAKARTA- Muktamar X Partai Persatuan Pembangunan (PPP) yang baru saja berakhir memunculkan dualisme kepemimpinan. Dua kandidat, Mardiono dan Agus Suparmanto, sama-sama mengklaim diri sebagai Ketua Umum terpilih. Kondisi tersebut menimbulkan keprihatinan luas di kalangan umat Islam, termasuk para pengurus Eksponen Fusi 1973. Ketua Umum Partai Muslimin Indonesia (Parmusi), Husnan Bey Fananie, menyatakan bahwa satu-satunya jalan menyelesaikan kisruh PPP adalah dengan mengembalikan partai berlambang Kakbah itu ke semangat fusi politik Islam tahun 1973, yakni penggabungan Partai Muslimin Indonesia (Parmusi), Nahdlatul Ulama (NU), Persatuan Tarbiyah Islamiyah (Perti), dan Syarikat Islam (SI). ""Pesan penting bahwa Partai Persatuan Pembangunan harus dikembalikan ke khitahnya. Harus dijaga marwahnya, harus diperbaiki apa-apa yang rusak yang ada di dalamnya. Harus menjadi sebuah rumah besar aspirasi umat Islam yang sesungguhnya,"" tegas Husnan saat Konferensi Pers di Kawasan Jakarta Selatan, Selasa (30/9/2025). Husnan menegaskan, PPP bukanlah barang dagangan yang bisa dibeli atau diperjualbelikan oleh kelompok tertentu. Dia juga mengungkapkan PPP lahir sebagai wadah pemersatu umat Islam dari berbagai latar belakang dan karakter, dan harus tetap menjadi rumah besar perjuangan umat. ""Tidak menjadi barang dagangan, tidak menjadi sesuatu yang harus dibeli dan harus diperjualkan,"" kata Husnan menegaskan. Husnan menilai, konflik internal yang terjadi saat ini menunjukkan krisis identitas dan kepemimpinan di tubuh PPP. Dualisme, perebutan kursi, dan politik transaksional dinilai lebih menonjol daripada semangat kolektivitas dan musyawarah sebagaimana semangat Fusi 1973. Karena itu, Husnan mengatakan eksponen Fusi 1973 mendesak dilaksanakannya Muktamar ulang sebelum akhir tahun 2025 sebagai langkah penyelamatan partai. Muktamar ulang ini diharapkan menjadi momentum rekonsiliasi dan kebangkitan PPP sebagai partai perjuangan umat Islam."
Jokowi Sambut Baik Keputusan Prabowo Soal IKN Jadi Pusat Politik 2028,26 September 2025,16:56 WIB," SOLO– Keputusan Presiden Prabowo Subianto menetapkan Ibu Kota Nusantara (IKN), sebagai pusat politik pada tahun 2028 mendapat respons dari mantan Presiden Joko Widodo (Jokowi). Pada tahun tersebut, diharapkan seluruh kelembagaan negara benar-benar siap dan berpindah ke IKN. Regulasi terkait agenda pembangunan kawasan IKN yang ditargetkan menjadi pusat politik pada 2028 tertuang dalam Peraturan Presiden (Perpres) Nomor 79 Tahun 2025. “Saya kira sangat bagus ya, Bapak Presiden telah memutuskan, menandatangani Perpres, dan menyampaikan mengenai IKN sebagai ibu kota politik,” kata Jokowi saat dijumpai di kediamannya di Kelurahan Sumber, Kecamatan Banjarsari, Kota Solo, Jumat (26/9/2025). Jokowi menilai, dengan keputusan itu, kelembagaan eksekutif, legislatif, dan yudikatif nantinya akan berada di IKN. Sehingga diharapkan semuanya dapat berjalan dengan baik. Ia berharap pada tahun 2028, seluruh pihak benar-benar siap dan pindah bersama-sama ke IKN. “Kita harapkan sesuai dengan rencana besar yang ada dahulu, IKN benar-benar menjadi ibu kota politik,” pungkasnya. (Awaludin)"
"IKN Ditetapkan sebagai Ibu Kota Politik 2028, Pramono: Jakarta Masih Ibu Kota",24 September 2025,12:50 WIB," JAKARTA– Presiden Prabowo Subianto telah menetapkan Ibu Kota Nusantara (IKN), sebagai Ibu Kota Politik Indonesia mulai tahun 2028. Menanggapi hal itu, Gubernur DKI Jakarta Pramono Anung menegaskan bahwa Jakarta saat ini masih berstatus sebagai ibu kota negara. “Seperti kita ketahui bersama, Jakarta sekarang masih menjadi ibu kota. Presiden telah menetapkan dalam Perpres baru bahwa mulai 2028, IKN menjadi Ibu Kota Politik,” ujar Pramono dalam sambutannya pada kunjungan kelas Lemhanas di Balai Agung, Balai Kota Jakarta, Rabu (24/9/2025). Pramono menjelaskan, istilah Ibu Kota Politik bisa memiliki berbagai makna. Pemindahan pemerintahan ke IKN tidak akan dilakukan secara keseluruhan pada 2028. “Yang utama, lembaga eksekutif, yudikatif, dan legislatif akan berjalan di IKN, sementara sebagian besar bisnis dan administrasi pemerintahan masih dilakukan di Jakarta,” ujarnya. "
Menerka Rencana Politik Jokowi di Balik Instruksi ke Relawan,23 September 2025,19:01 WIB,"JAKARTA– Analis komunikasi politik Hendri Satrio menganalisis instruksi Presiden ke-7 RI, Joko Widodo (Jokowi) kepada relawannya untuk mendukung Prabowo Subianto-Gibran Gibran Rakbuming Raka dua periode. Mengapa Jokowi buru-buru, padahal Pemilu 2029 masih jauh? Pria yang akrab disapa Hensat ini melihat setidaknya ada tiga pesan yang ingin disampaikan Jokowi kepada publik di balik arahannya tersebut. Pertama, dia melihat Jokowi percaya Gibran bisa tetap menjabat sebagai wakil presidennya Prabowo Subianto di periode kedua nanti. ""Ini menunjukkan bahwa Pak Jokowi percaya bahwa Prabowo bisa membawa anaknya menjabat sebagai wakil presiden di periode kedua nanti,"" kata Hensat, Selasa (23/9/2025). Kedua, ia berpendapat bahwa Jokowi sepakat akan menjaga Prabowo hingga bisa maju kembali sebagai presiden di periode selanjutnya."
Breaking News! Prabowo Tetapkan IKN Ibu Kota Politik 2028,19 September 2025,18:08 WIB,"JAKARTA -PresidenPrabowo Subiantomenegaskan, pembangunan Ibu Kota Nusantara (IKN) tetap berlanjut. Melalui Peraturan Presiden (Perpres) Nomor 79 Tahun 2025 tentang Pemutakhiran Rencana Kerja Pemerintah Tahun 2025, yang diundangkan pada 30 Juni 2025, Prabowo menetapkanIKNakan resmi menjadi Ibu Kota Politik Indonesia pada 2028. “Perencanaan dan pembangunan kawasan, serta pemindahan ke Ibu Kota Nusantara dilaksanakan sebagai upaya mendukung terwujudnya Ibu Kota Nusantara menjadi ibu kota politik di tahun 2028,” bunyi beleid seperti dikutip Okezone, Jumat (19/9/2025). Prabowo mengungkapkan target pelaksanaan pembangunan IKN dengan berfokus pada Kawasan Inti Pusat Pemerintahan (KIPP) dan sekitarnya. Pertama, luas area Kawasan Inti Pusat Pemerintahan Ibu Kota Nusantara dan sekitarnya yang terbangun mencapai 800-850 hektar. Kedua, persentase pembangunan gedung/perkantoran di Ibu Kota Nusantara mencapai 20%. Ketiga, persentase pembangunan hunian/rumah tangga yang layak, terjangkau, dan berkelanjutan di Ibu Kota Nusantara mencapai 50%. Keempat, cakupan ketersediaan sarana prasarana dasar kawasan Ibu Kota Nusantara mencapai 50%. Kelima, indeks aksesibilitas dan konektivitas kawasan lbu Kota Nusantara menjadi 0,74. Dalam beleid itu juga dijelaskan bahwa untuk terbangunnya kawasan inti pusat pemerintahanIbu Kota Nusantaradan sekitarnya, pembangunan gedung/ perkantoran di Ibu Kota Nusantara. "
"Jejak Darah Politik Amerika, Pembunuhan Lincoln hingga Charlie Kirk",15 September 2025,08:38 WIB,"AMERIKA SERIKATmemiliki sejarah politik yang cukup panjang. Sistem demokrasi yang masuk kategori baik tidak serta-merta berjalan sempurna. Pembunuhan bermotif politik, dari Abraham Lincoln hingga John F. Kennedy dan Martin Luther King Jr., mewarnai perjalanan Negeri Paman Sam. Kini, peristiwa serupa kembali mengguncang Amerika Serikat setelah aktivis konservatif Charlie Kirk, sekutu dekat Presiden Donald Trump, tewas ditembak. Kirk tewas saat berpidato di sebuah universitas di Utah. Peluru tunggal bersarang di lehernya, membuatnya roboh dan dinyatakan tewas. Seorang pria berusia 22 tahun ditangkap sebagai tersangka. Namun Presiden Donald Trump dan Gubernur Utah menyebut insiden ini bermotif politik, bukan sekadar kekerasan bersenjata biasa. Berikut tokoh-tokoh Amerika Serikat yang dibunuh karena motif politik, seperti dilansir BBC. Senin (15/9/2025). "
"RUU Perampasan Aset Disorot, Pakar Hukum: Waspadai Celah Kriminalisasi Politik!",11 September 2025,21:58 WIB," JAKARTA– Dewan Perwakilan Rakyat (DPR) resmi mengambil alih inisiatif Rancangan Undang-Undang (RUU) Perampasan Aset, sebagai usulan legislatif, bukan lagi dari pemerintah. Pakar hukum Henry Indraguna mengatakan, RUU Perampasan Aset merupakan senjata ampuh memberantas korupsi, pencucian uang, dan kejahatan luar biasa lainnya. “Dengan pengambilan inisiatif ini, semoga proses pengesahan RUU Perampasan Aset bisa lebih cepat,” kata Henry, Kamis (11/9/2025). Guru Besar Unissula ini optimistis RUU tersebut tak lagi terkatung-katung, mengingat desakan kuat masyarakat, mahasiswa, hingga elemen bangsa yang disuarakan melalui petisi 17+8. Namun, ia mengingatkan ada tiga hal krusial yang harus diperhatikan agar regulasi ini tidak disalahgunakan. 1. Larangan Kriminalisasi Politik Henry menegaskan, perampasan aset harus menjadi instrumen hukum yang adil, konstitusional, dan tidak boleh dijadikan alat politik untuk menjatuhkan lawan. “Perampasan aset harus menjadi jalan menuju keadilan dan pemberantasan korupsi, bukan alat kriminalisasi. Hukum harus ditegakkan dengan due process of law, dan harta halal yang diperoleh jauh sebelum perkara muncul tidak boleh ikut dirampas,” ujarnya. "
