id	date	title	text_preview	sentiment	confidence	notes	content	content_length	article_id
1	9/11/2019	Menko Luhut : Jokowi Tak Mungkin Asal Pilih Menteri!	"Jakarta, CNBC Indonesia- Presiden Joko Widodo (Jokowi) menegaskan susuan kabinet baru sudah final dan telah diserahkan kepada pimpinan partai politik pengusungnya di Pilpres 2019.Adapun susunan kabinet baru Jokowi akan diisi lebih banyak oleh kalangan profesional ketimbang usulan dari partai politik..."	neutral			"Jakarta, CNBC Indonesia- Presiden Joko Widodo (Jokowi) menegaskan susuan kabinet baru sudah final dan telah diserahkan kepada pimpinan partai politik pengusungnya di Pilpres 2019.Adapun susunan kabinet baru Jokowi akan diisi lebih banyak oleh kalangan profesional ketimbang usulan dari partai politik pendukung, dengan komposisi 55% profesional dan 45% partai politik.Berbicara di kompleks Istana Kepresidenan, Menteri Koordinator Bidang Kemaritiman Luhut Binsar Pandjaitan pun mengungkapkan kabar terbaru dari susunan kabinet Jokowi periode kedua. ""Saya kira presiden itu melihat global economy, seperti sekarang pastilah beliau milih orang yang mampu berdaptasi atau implementasi cepat,"" kata Luhut di Jakarta, Selasa (10/9/2019).""Yang pasti beliaundakakan coba-coba. Saya sudah mengenal beliau selama 5 tahun pemerintahan ini. Saya pikir beliau sangat tajam,"" tegasnya.Luhut bahkan mengungkap alasan salam perpisahannya dengan anggota Dewan Perwakilan Rakyat (DPR) di sela rapat Badan Anggaran DPR pada awal pekan ini.Rapat ini disebut menjadi pertemuan terakhir. Sebab, sebagian anggota DPR ada yang terpilih kembali untuk periode 2019 - 2024, namun ada juga yang dipastikan tak mengisi kursi wakil rakyat.Namun di sisi lain, hal serupa juga bisa saja dialami Menko Luhut, yang sampai saat ini belum dipastikan apakah akan kembali mengisi jajaran kabinet Jokowi periode kedua 2019-2024.Luhut pun mengonfirmasi pernyataan tersebut. Mantan Kepala Staf Kepresidenan itu mengakui bahwa perkataannya hanya ditujukan kepada anggota DPR.""Saya bilang teman-teman di DPR inikanudah mau selesai, masih ada yang terus. Jadi mungkin kita ada yang bisa ketemu lagi, bisa tidak ketemu lagi. Nggak ada urusan ke saya,"" kata Luhut.Pernyataan Luhut kali ini seolah memberi kode soal kemungkinan purnawirawan TNI itu kembali mengisi kursi jajaran menteri Jokowi. Namun, Luhut masih berkilah ketika disinggung terkait hal tersebut.""Kau tanya saja Presiden. Saya nggak pernah tanya-tanya,"" kata Luhut ketika dikonfirmasi apakah ada tawaran untuk kembali mengisi posisi menteri.Luhut menegaskan, pembentukan kabinet periode kedua sepenuhnya berada di tangan Jokowi sebagai Kepala Negara. Luhut meyakini, apapun keputusan yang akan diambil untuk posisi menteri merupakan yang terbaik bagi negara.""Saya nggak ada urusan pamit. Saya terserah Presiden. Presiden sudah nimbang-nimbang di mana yang paling cocok,"" tegasnya."	2400	CNBC_00008
2	9/24/2019	Ini Siasat Lobi-Lobi Boris Saat Brexit Makin Ujung Tanduk	"Jakarta, CNBC Indonesia-Kurang dari 40 hari jelang tenggat waktu Inggris keluar dari Uni Eropa, Perdana Menteri Inggris, Boris Johnson gencar mengadakan lobi politik termasuk dengan Presiden Dewan Eropa, Donald Tusk...."	neutral			"Jakarta, CNBC Indonesia-Kurang dari 40 hari jelang tenggat waktu Inggris keluar dari Uni Eropa, Perdana Menteri Inggris, Boris Johnson gencar mengadakan lobi politik termasuk dengan Presiden Dewan Eropa, Donald Tusk."	216	CNBC_00012
3	10/6/2019	"Menterinya Terbanyak Se-ASEAN, Kabinet RI Bakal Kian Gemuk"	"CNBC Indonesia, Jakarta -Jelang pelantikan Kabinet Kerja Periode II pada 20 Oktober, publik menanti sosok menteri baru. Di tengah kondisi itu, beredar kabar jumlah kursi wakil menteri (wamen) akan ditambah sebagai upaya menampung ""aspirasi politik"" lintas partai yang kian bertambah. Segemuk apa kabi..."	neutral			"CNBC Indonesia, Jakarta -Jelang pelantikan Kabinet Kerja Periode II pada 20 Oktober, publik menanti sosok menteri baru. Di tengah kondisi itu, beredar kabar jumlah kursi wakil menteri (wamen) akan ditambah sebagai upaya menampung ""aspirasi politik"" lintas partai yang kian bertambah. Segemuk apa kabinet kita saat ini, dan nantinya jika ada tambahan kursi wamen?Tim Riset CNBC Indonesiamengulasnya dengan mengacu pada data terkini jumlah menteri (dan wakil menteri) di negara-negara tetangga kita, di Asia Tenggara. Berdasarkan data yang dikompilasi dari sumber pemberitaan dan sumber resmi pemerintahan tiap negara di Asia Tenggara, Indonesia saat ini menjadi negara dengan jumlah menteri yang terbanyak, yakni 34 menteri. Malaysia berada di posisi kedua dengan jumlah 27 orang menteri. Penghitungan menteri tersebut juga memasukkan jabatan perdana menteri. Demikian juga dengan menteri koordinator (menko) yang juga dimiliki beberapa negara, termasuk di Indonesia (empat menko). Untuk memudahkan pembandingan-mengingat keberadaan sistem presidensial dan parlementer diterapkan di antara negara-negara di Asia Tenggara, kami hanya memasukkan jumlah menteri dan tak memasukkan pejabat setingkat menteri. Meski jumlah menterinya lebih sedikit dari Indonesia, Malaysia memiliki jumlah wamen lebih banyak, yakni 25 orang. Total ada 52 menteri dan wamen di Malaysia. Dengan kata lain, hampir semua departemen atau kementerian di Negeri Jiran ini memiliki wamen (Deputy Minister). Saat ini, Indonesia hanya memiliki total 37 menteri dan wamen. Dengan demikian, jika Jokowi menambah jumlah wamen hingga menjadi menjadi 18 orang, dia menjadikan jumlah personil Kabinet Kerja periode II bakal segembrot di Malaysia sekarang. Namun jikapun jumlah personel di kabinet Jokowi nantinya mencapai 52 orang (34 menteri dan 18 wamen), kondisi ini masih mendingan dari India. Negeri Bollywood tersebut saat ini memiliki 58 orang menteri (termasuk menteri muda dan wamen), menjadi yang terbanyak di dunia. Sebaliknya, Swiss menjadi negara dengan jumlah kementerian paling sedikit, dengan hanya ada 7 departemen yang dipimpin 7 orang.Namun, produk domestik bruto (PDB) Swiss saat ini mencapai US$ 80.189,7 per kapita (2017), jauh meninggalkan Indonesia yang hanya US$3.846,9 pada periode sama.Artinya, kabinet gembrot (apalagi jika merupakan hasil politik dagang sapi) tak berkorelasi positif terhadap kinerja ekonomi. Korelasi positif yang terjadi hanyalah berupa pembengkakan anggaran negara untuk membiayai pejabat baru."	2504	CNBC_00017
4	10/16/2019	Akankah Gerindra Masuk Koalisi Jokowi?	"Jakarta, CNBC Indonesia -Partai Gerindra menggelar rapat kerja nasional di kediaman Ketua Umumnya Prabowo subianto yang berlokasi di bukit hambalang/ babakan Madang, Bogor, Jawa Barat.Rakernas di Hambalang yang digelar tepat jam 9 pagi waktu Indonesia bagian barat ini membahas arah Politik Gerindra ..."	neutral			"Jakarta, CNBC Indonesia -Partai Gerindra menggelar rapat kerja nasional di kediaman Ketua Umumnya Prabowo subianto yang berlokasi di bukit hambalang/ babakan Madang, Bogor, Jawa Barat.Rakernas di Hambalang yang digelar tepat jam 9 pagi waktu Indonesia bagian barat ini membahas arah Politik Gerindra ke depan masuk atau tidak ke koalisi pemerintah, sementara itu, Menteri Koordinator Kemaritiman Luhut Binsar Pandjaitan tak mempersoalkan jika Gerindra merapat ke koalisi pemerintahan Joko Widodo. Menurut Luhut tak ada yang salah jika Gerindra bergabung ke pemerintah.Simak informasinya dalam Program Power Lunch Rabu, 16/10/2019 berikut ini."	642	CNBC_00023
5	10/16/2019	"Kubu Prabowo Masuk Koalisi Jokowi, Berkah atau Musibah?"	"Berbicara mengenai perekonomian, investasi menjadi elemen yang sangat krusial. Kalau berbicara mengenai tarik-menarik dana asing di pasar modal, Indonesia bisa dibilang jago. Melansir data yang dipublikasikan Kustodian Sentral Efek Indonesia (KSEI), per September 2019 pemodal asing tercatat memiliki..."	positive			"Berbicara mengenai perekonomian, investasi menjadi elemen yang sangat krusial. Kalau berbicara mengenai tarik-menarik dana asing di pasar modal, Indonesia bisa dibilang jago. Melansir data yang dipublikasikan Kustodian Sentral Efek Indonesia (KSEI), per September 2019 pemodal asing tercatat memiliki 50,6% dari saham yang tercatat di KSEI. Di pasar obligasi, melansir data yang dipublikasikan Direktoral Jenderal Pengelolaan Pembiayaan dan Risiko Kementerian Keuangan, per 14 Oktober 2019, investor asing menguasai senilai Rp 1.032,72 triliun dari total obligasi pemerintah Indonesia yang dapat diperdagangkan atau setara dengan 38,42%. Tapi, kalau berbicara mengenai investasi riil (membangun pabrik), ceritanya menjadi berbeda. Untuk diketahui, jika berbicara mengenai investasi riil, yang terpenting bagi Indonesia adalah penanaman modal asing (PMA) atauforeign direct investment, bukan penanaman modal dalam negeri (PMDN) ataudomestic direct investment. Pasalnya, dari total penanaman modal di tanah air, lebih dari 50% disumbang oleh PMA. Karena nilainya lebih besar, tentu pertumbuhan PMA yang signifikan akan lebih terasa bagi perekonomian ketimbang pertumbuhan PMDN. Celakanya, pertumbuhan realisasi PMA di era Jokowi sangatlah mengecewakan. Pada tahun 2014, realisasi PMA tercatat tumbuh 13,54% jika dibandingkan dengan realisasi tahun 2013. Pada tahun 2015, pertumbuhannya sempat naik menjadi 19,22%. Dalam dua tahun berikutnya (2016-2017), PMA hanya tumbuh di kisaran satu digit. Pada tahun 2018, PMA bahkan tercatat ambruk hingga 8,8%. Kalau dilihat kinerjanya secara kuartalan, selama empat kuartal beruntun (sejak kuartal II-2018 hingga kuartal I-2019) realisasi PMA membukukan kontraksi secara tahunan. Barulah pada kuartal II-2019 PMA bisa mencetak pertumbuhan, yakni sebesar 9,61%. Namun, pertumbuhan realisasi PMA pada tiga bulan kedua tahun ini perlu diwaspadai. Pasalnya, salah satu penyebab kenaikan realisasi PMA pada kuartal II-2019 adalahlow-base effect. Realisasi PMA pada kuartal II-2018 terbilang rendah sehingga tak sulit untuk membukukan pertumbuhan pada kuartal II-2019. Pada kuartal II-2018, realisasi PMA tercatat senilai Rp 95,7 triliun. Realisasi PMA tersebut merupakan realisasi PMA kuartal II terendah sejak tahun 2015. Pada kuartal I-2019 dan kuartal II-2019, investasi (bagian dari perhitungan PDB menggunakan pendekatan pengeluaran) tercatat tumbuh masing-masing sebesar 5,03% dan 5,01% secara tahunan. Pertumbuhan yang hanya di batas bawah 5% tersebut jauh merosot jika dibandingkan capaian pada periode yang sama tahun lalu. Pada kuartal I-2018 dan kuartal II-2018, investasi tercatat tumbuh masing-masing sebesar 7,95% dan 5,87% secara tahunan. Pada kuartal III-2019, ada kemungkinan bahwa pertumbuhan pos investasi justru akan melorot ke bawah level 5%. Pasalnya, aktivitas sektor manufaktur Indonesia diketahui selalu membukukan kontraksi pada bulan Juli, Agustus, dan September. Melansir data yang dipublikasikan oleh Markit, Manufacturing PMI Indonesia pada bulan Juli, Agustus, dan September berada masing-masing di level 49,6, 49, dan 49,1. Sebagai informasi, angka di atas 50 berarti aktivitas manufaktur membukukan ekspansi jika dibandingkan dengan bulan sebelumnya, sementara angka di bawah 50 menunjukkan adanya kontraksi. Dengan aktivitas manufaktur yang terus terkontraksi, dunia usaha akan cenderung menahan investasinya sehingga sangat mungkin pertumbuhan pos investasi akan melorot ke bawah 5%. BERLANJUT KE HALAMAN 3 -> Kestabilan Politik Jadi Kunci Lantas, apa hubungannya investasi dengan keputusan Prabowo untuk berada di dalam atau di luar koalisi Jokowi? Ternyata, kedua hal ini berkaitan erat. Bank Dunia (World Bank) melakukan survei kepada 754 perusahaan internasional dan hasilnya dituangkan dalam publikasi berjudul Foreign Investor Perspectives and Policy Implications 2017/2018. Ternyata, kestabilan politik dan keamanan merupakan faktor utama bagi investor dalam menentukan lokasi penanaman modal. Sebanyak 50% responden menyebut bahwa kestabilan politik dan keamanan sangatlah penting bagi mereka, sementara 37% menilainya sebagai faktor yang penting. Nah, ketika Gerindra yang merupakan partai dengan kursi terbanyak ketiga di Dewan Perwakilan Rakyat (DPR) bergabung ke pemerintah, hampir bisa dipastikan setiap Rancangan Undang-Undang (RUU) yang dilempar oleh pemerintah ke parlemen akan bisa digolkan tanpa adanya gesekan politik yang berarti. Hal ini tentu menjadi penting, mengingat di periode dua Jokowi banyak kebijakan baru yang krusial bagi perekonomian Indonesia dan memerlukan restu dari parlemen, salah satunya adalah terkait pemangkasan pajak korporasi. Jika kebijakan-kebijakan krusial yang penting bagi perekonomian bisa digolkan dengan cepat, minat investor asing untuk menanamkan dananya di Indonesia bisa dipacu yang pada akhirnya akan membuat roda perekonomian berputar lebih kencang. Memang, menambah peserta koalisi berarti bagi-bagi kursi di kabinet semakin kencang. Sebelum Partai Gerindra Bergabung saja, koalisi Jokowi untuk periode dua sudah lebih gemuk ketimbang periode satu. Namun, kalau posisi menteri ekonomi bisa dialokasikan ke tangan-tangan yang memang mumpuni, rasanya koalisi yang semakin gemuk tak menjadi masalah. Sumber dari CNBC Indonesia menyebut bahwa Sri Mulyani Indrawati masih akan dipercaya untuk menempati posisi Menteri Keuangan di periode kedua pemerintahan Jokowi. Kalau ini benar yang terjadi, tentu menjadi kabar yang sangat positif bagi perekonomian Indonesia. Pasalnya, ditengah menantangnya kondisi perekonomian global di periode satu pemerintahan Jokowi, Sri Mulyani berhasil menjaga realisasi Anggaran Pendapatan dan Belanja Negara (APBN). Bahkan pada tahun 2018, realisasi penerimaan negara bisa mencapai lebih dari 100% dari yang ditargetkan, menandai kali pertama hal tersebut terjadi sejak tahun 2008 silam. Di tangan Sri Mulyani, defisit fiskal juga selalu bisa diredam di level yang relatif rendah. Pelaku pasar pun sejauh ini menanggapi dengan gembira peluang terpilihnya kembali Sri Mulyani sebagai Menteri Keuangan. Pelaku pasar yang merupakan CEO sebuah lembaga pemeringkat internasional mengatakan bahwa Sri Mulyani sudah pas ditempatnya dan ada baiknya dipertahankan sebagai Menteri Keuangan. ""Dua jempol untuk Sri Mulyani bisa menjaga stabilitas fiskal dan makro secara baik di tengah gempuran ketidakstabilan kondisi ekonomi global,"" tuturnya. Sementara itu, kalangan bankir berpendapat sama. ""Sri Mulyani mengetahui dengan pasti kondisi keuangan negara dan tak ada lagi yang bisa menggantikannya untuk saat ini,"" terang salah seorang bankir senior. Pada akhirnya, walaupun sempat membuat satu Indonesia panas dingin, saat ini memang opsi terbaik bagi bangsa ini adalah Partai Gerindra merapat ke koalisi Jokowi. Seperti yang sudah disebutkan di atas, merapatnya Partai Gerindra merapat ke koalisi Jokowi akan membuat setiap RUU yang dilempar oleh pemerintah ke parlemen hampir bisa dipastikan akan digolkan dengan cepat. Namun, walau nantinya Partai Gerindra merapat ke pemerintah, Jokowi tetap harus bijak dalam mengalokasikan kursi menteri ekonomi untuk orang-orang yang memang sangat kredibel seperti Sri Mulyani. TIM RISET CNBC INDONESIA"	7186	CNBC_00026
6	10/17/2019	"Kabar Duka, Mantan Dubes RI di Italia August Parengkuan Wafat"	"Jakarta, CNBC Indonesia- Mantan Duta Besar RI untuk Italia August Parengkuan meninggal dunia pada Kamis pagi ini (16/10/2019). Mantan wartawan Kompas itu menjadi dubes pada masa Presiden Susilo Bambang Yudhoyono (SBY) dan dilantik pada 3 September 2012.""Telah berpulang ke rumah Bapa, ayah kami terci..."	neutral			"Jakarta, CNBC Indonesia- Mantan Duta Besar RI untuk Italia August Parengkuan meninggal dunia pada Kamis pagi ini (16/10/2019). Mantan wartawan Kompas itu menjadi dubes pada masa Presiden Susilo Bambang Yudhoyono (SBY) dan dilantik pada 3 September 2012.""Telah berpulang ke rumah Bapa, ayah kami tercinta, Bp August Parengkuan pada hari ini Kamis, 17/10/19 Jam.5.50. Jenazah akan di semayamkan di rumah kami, Jl. Dukuh Patra III No.59, Kuningan, Jakarta,"" demikian informasi yang diperoleh CNBC Indonesia dari Grup Kementerian Luar Negeri, Kamis ini.""Ada perubahan, jenazah Pak Agus Parengkuan akan disemayamkan di Rumah Duka RSPAD,"" tulis informasi tersebut.Tokoh politik kelahiran Surabaya 1 Agustus 1943 itu meninggal dunia pada usia 76 tahun. Mengacu profil August dari beberapa sumber, disebutkan sebelumnya August adalah wartawan Harian Kompas (1965-1981), lalu menjadi redaktur bidang politik, wakil redaktur pelaksana (1989-1990), redaktur pelaksana (1990-1992), wakil pemimpin redaksi Kompas (1992-1993), redaktur eksekutif merangkap wakil pemimpin redaksi Kompas (1993-2000). Setelah itu August kemudian menjadi direktur komunikasi KKG (Kelompok Kompas Gramedia) pada 2000, presiden direktur TV7 (2001), dan wakil presiden senior KKG (2002) sebelum akhirnya ditunjuk SBY menjadi dubes.August Parengkuan dilantik menjadi Dubes Berkuasa Penuh RI untuk Italia. August saat itu juga bertugas merangkap sebagai Dubes untuk Malta, Siprus, dan organisasi PBB yang berbasis di Roma (ibu kota Italia), antara lain Organisasi Pangan FAO.Ishadi K, wartawan senior dan Komsaris Transmedia, mengatakan August menjadi wartawan kesembilan yang menempati posisi Duta Besar RI semenjak Indonesia merdeka.B.M. Diah merupakan wartawan pertama yang dilantik menjadi Duta Besar RI untuk Cekoslowakia dan Hungaria tahun 1959. Setelah itu Adam Malik menjadi Dubes RI untuk Uni Soviet dan Polandia tahun 1962, dan bahkan menjadi Menteri Luar Negeri dan Wakil Presiden RI.Ishadi juga mengenang bagaimana August membangun karier sebagai wartawan.""August Parengkuan saya kenal sejak lama, waktu ia mulai sebagai wartawan 40 tahun lalu. Kala itu ia menjadi wartawan Istana, posisi yang ditempatinya selama lima tahun (1966-1971). Sebuah posisi yang diperebutkan oleh para wartawan karena selalu terbuka kesempatan berhubungan dekat dengan kepala negara dan mentri anggota Kabinet,"" kata Ishadi dikutip Detik.""August Parengkuan dengan scooter Lambretanya mencari berita menghubungi nara sumber atau pulang balik ke kantornya untuk menyiapkan berita eksklusif yang didapatnya. Pergaulannya yang luas memudahkan ia memperoleh informasi.""Kepergian August ini terjadi setelah sebelumnya Aristides Katoppo juga berpulang ke Yang Maha Esa pada Minggu 29 September silam.Ucapan bela sungkawa pun berdatangan, saah satunya pendiri Majalah Tempo Goenawan Mohammad (GM). ""August Parengkuan, sahabat, beristirahatlah dalam damai. Setelah Tides, anda menyusul,"" tulis Goenawan di twitternya @gm_gm.Goenawan juga mengingat kembali sahabatnya yakni Subagio Sastrowardojo.""Saya ingat sajak Subagio Sastrowardojo: Dan kematian makin akrab, seakan kawan berkelakar, yang mengajak tertawa, itu bahasa semesta yang dimengerti,"" tulis GM.Selamat jalan Pak August, rest in peace."	3238	CNBC_00029
7	10/22/2019	Pengorbanan Calon Menteri Jokowi Jilid 2	"Jakarta, CNBC Indonesia -Usai pelantikan Presiden Jokowi dan Wakil Presiden Ma'ruf Amin tentunya masyarakat menantikan seperti apa susunan kabinet baru untuk pemerintahan Jokowi jilid 2. Hingga saat ini diketahui bahwa 45% pejabat akan berasal dari partai politik sedangkan 55% berasal dari kalangan ..."	positive			"Jakarta, CNBC Indonesia -Usai pelantikan Presiden Jokowi dan Wakil Presiden Ma'ruf Amin tentunya masyarakat menantikan seperti apa susunan kabinet baru untuk pemerintahan Jokowi jilid 2. Hingga saat ini diketahui bahwa 45% pejabat akan berasal dari partai politik sedangkan 55% berasal dari kalangan profesional. Baru saja kemarin sudah dipanggil beberapa nama dan memang sebagian besarnya adalah berasal dari kalangan pengusaha. Sebagai pengusaha tentu jika mau menjabat sebagai menteri harus meninggalkan pekerjaannya.Lalu siapa saja kah calon menteri yang harus mengorbankan pekerjaannya? Simak pemaparan Mercy Andrea dalam program Profit di CNBC Indonesia (Selasa, 22/10/2019)."	681	CNBC_00033
8	10/25/2019	Ini Wakil Menteri Pilihan Jokowi	"Jakarta, CNBC Indonesia -Hari ini Jokowi kembali memanggil nama-nama yang menduduki jabatan wakil menteri. Ada 12 nama yang dipanggil ke Istana Kepresidenan mulai dari mantan tim sukses, kalangan parpol koalisi hingga kalangan professional, Hal ini sesuai dengan prediksi oleh para pengamat politik b..."	neutral			"Jakarta, CNBC Indonesia -Hari ini Jokowi kembali memanggil nama-nama yang menduduki jabatan wakil menteri. Ada 12 nama yang dipanggil ke Istana Kepresidenan mulai dari mantan tim sukses, kalangan parpol koalisi hingga kalangan professional, Hal ini sesuai dengan prediksi oleh para pengamat politik bahwa Kabinet Indonesia Maju akan menambah kursi wakil menteri. Sekarang resmi sudah bertambah jadi 12 wakil menteri untuk sebelas kementerian. Siapa saja mereka? Muhammad Gibran akan menjelaskan dalam program Closing Bell CNBC Indonesia (Jumat, 2/10/2019) berikut ini."	568	CNBC_00043
9	10/29/2019	"Ada Dugaan Pemilu Curang, Warga Bolivia Berdemo"	"Jakarta, CNBC Indonesia-Awal pekan ini demo juga digelar di Bolivia, Amerika Latin. Rakyat negara itu berkumpul menyuarakan kemarahan setelah oposisi politik mengatakan mereka telah ditipu dalam pemilihan yang dimenangkan oleh Presiden Evo Morales...."	neutral			"Jakarta, CNBC Indonesia-Awal pekan ini demo juga digelar di Bolivia, Amerika Latin. Rakyat negara itu berkumpul menyuarakan kemarahan setelah oposisi politik mengatakan mereka telah ditipu dalam pemilihan yang dimenangkan oleh Presiden Evo Morales."	248	CNBC_00047
10	10/31/2019	Jokowi: Jangan Sampai Aparat Hukum Kita Dibajak Oleh Mafia!	"Jakarta, CNBC Indonesia-Presiden Joko Widodo (Jokowi)kembali mengeluhkan antrean arus investasi yang sampai saat ini tak kunjung masuk karena adanya keraguan investor atas kepastian hukum di Indonesia.Hal tersebut dikemukakan Jokowi saat memberikan arahan dalam rapat terbatas dengan topik penyampaia..."	negative			"Jakarta, CNBC Indonesia-Presiden Joko Widodo (Jokowi)kembali mengeluhkan antrean arus investasi yang sampai saat ini tak kunjung masuk karena adanya keraguan investor atas kepastian hukum di Indonesia.Hal tersebut dikemukakan Jokowi saat memberikan arahan dalam rapat terbatas dengan topik penyampaian program dan kegiatan di bidang politik, hukum, dan keamanan di Istana Kepresidenan, Jakarta, Kamis (31/10/2019).""Banyak masalah investasi yang antre, tapi karena kepastian hukumnya diragukan akhirnya mereka tak bisa merealisasikan investasinya,"" jelasnya.Tak hanya investor asing, perusahaan pelat merah diakui Jokowi bahkan secara terang-terangan mengaku takut dengan aparat hukum. Ini karena merasa kerap kali dijadikan sebagai 'kambing hitam'.""Tolong juga jangan sampai terjadi dicari-cari kesalahan, digigit, sehingga program yang harusnya bisa kita selesaikan berhenti di tengah jalan karena banyak orang yang enggak senang dengan pembangunan itu,"" jelasnya. ""Misalnya pembangunan kilang minyak refinery. Banyak yang gak senang karena suka barang impor. Jadi kalau kita ingin bangun refinery larinya nanti ke petrochemical. Kita tahu banyak yang enggak senang. Tapi kita tahu untuk sebuah negara ini keharusan sehingga defisit neraca perdagangan dan neraca transaksi berjalan bisa diperbaiki,"" lanjut Jokowi.Eks Wali Kota Solo itu mengaku telah memerintahkan seluruh aparat hukum untuk memberikan jaminan kepada investor, pelaku usaha bahwa prospek bisnis di Indonesia cerah. Sehingga, program pemerintah pun bisa selesai dilaksanakan.""Saya ngomong apa adanya. Jangan sampai aparat hukum kita dibajak oleh mafia sehingga program yang harusnya bisa kita lihat progresnya, perkembangannya, menjadi tidak jalan karena ada pembajakan tadi,"" tegasnya."	1753	CNBC_00051
